Country Name,Country Code,Currency Unit,Year,Indicator,Score
Austria,AUT,Euro,2016,Getting Credit - Score,55
Austria,AUT,Euro,2016,Resolving insolvency - Score,78.9
Austria,AUT,Euro,2016,Starting a business - Score,82.8
Austria,AUT,Euro,2016,Trading across borders - Score,100
Austria,AUT,Euro,2016,Overall Score,79.2
Austria,AUT,Euro,2017,Getting Credit - Score,55
Austria,AUT,Euro,2017,Resolving insolvency - Score,78.9
Austria,AUT,Euro,2017,Starting a business - Score,83.1
Austria,AUT,Euro,2017,Trading across borders - Score,100
Austria,AUT,Euro,2017,Overall Score,79.3
Austria,AUT,Euro,2018,Getting Credit - Score,55
Austria,AUT,Euro,2018,Resolving insolvency - Score,77.4
Austria,AUT,Euro,2018,Starting a business - Score,83.1
Austria,AUT,Euro,2018,Trading across borders - Score,100
Austria,AUT,Euro,2018,Overall Score,78.9
Austria,AUT,Euro,2019,Getting Credit - Score,55
Austria,AUT,Euro,2019,Resolving insolvency - Score,77.5
Austria,AUT,Euro,2019,Starting a business - Score,83.2
Austria,AUT,Euro,2019,Trading across borders - Score,100
Austria,AUT,Euro,2019,Overall Score,78.9
Austria,AUT,Euro,2020,Getting Credit - Score,55
Austria,AUT,Euro,2020,Resolving insolvency - Score,77.4
Austria,AUT,Euro,2020,Starting a business - Score,83.2
Austria,AUT,Euro,2020,Trading across borders - Score,100
Austria,AUT,Euro,2020,Overall Score,78.9
Belgium,BEL,Euro,2016,Getting Credit - Score,45
Belgium,BEL,Euro,2016,Resolving insolvency - Score,84
Belgium,BEL,Euro,2016,Starting a business - Score,91.4
Belgium,BEL,Euro,2016,Trading across borders - Score,100
Belgium,BEL,Euro,2016,Overall Score,80.1
Belgium,BEL,Euro,2017,Getting Credit - Score,45
Belgium,BEL,Euro,2017,Resolving insolvency - Score,84.3
Belgium,BEL,Euro,2017,Starting a business - Score,91.4
Belgium,BEL,Euro,2017,Trading across borders - Score,100
Belgium,BEL,Euro,2017,Overall Score,80.2
Belgium,BEL,Euro,2018,Getting Credit - Score,45
Belgium,BEL,Euro,2018,Resolving insolvency - Score,81.5
Belgium,BEL,Euro,2018,Starting a business - Score,91.4
Belgium,BEL,Euro,2018,Trading across borders - Score,100
Belgium,BEL,Euro,2018,Overall Score,79.5
Belgium,BEL,Euro,2019,Getting Credit - Score,65
Belgium,BEL,Euro,2019,Resolving insolvency - Score,83.9
Belgium,BEL,Euro,2019,Starting a business - Score,91.4
Belgium,BEL,Euro,2019,Trading across borders - Score,100
Belgium,BEL,Euro,2019,Overall Score,85.1
Belgium,BEL,Euro,2020,Getting Credit - Score,65
Belgium,BEL,Euro,2020,Resolving insolvency - Score,84.1
Belgium,BEL,Euro,2020,Starting a business - Score,92.3
Belgium,BEL,Euro,2020,Trading across borders - Score,100
Belgium,BEL,Euro,2020,Overall Score,85.4
Cyprus,CYP,Euro,2016,Getting Credit - Score,65
Cyprus,CYP,Euro,2016,Resolving insolvency - Score,71.2
Cyprus,CYP,Euro,2016,Starting a business - Score,89.2
Cyprus,CYP,Euro,2016,Trading across borders - Score,88.4
Cyprus,CYP,Euro,2016,Overall Score,78.5
Cyprus,CYP,Euro,2017,Getting Credit - Score,60
Cyprus,CYP,Euro,2017,Resolving insolvency - Score,72
Cyprus,CYP,Euro,2017,Starting a business - Score,91.2
Cyprus,CYP,Euro,2017,Trading across borders - Score,88.4
Cyprus,CYP,Euro,2017,Overall Score,77.9
Cyprus,CYP,Euro,2018,Getting Credit - Score,60
Cyprus,CYP,Euro,2018,Resolving insolvency - Score,72.2
Cyprus,CYP,Euro,2018,Starting a business - Score,91.2
Cyprus,CYP,Euro,2018,Trading across borders - Score,88.4
Cyprus,CYP,Euro,2018,Overall Score,78
Cyprus,CYP,Euro,2019,Getting Credit - Score,60
Cyprus,CYP,Euro,2019,Resolving insolvency - Score,72.3
Cyprus,CYP,Euro,2019,Starting a business - Score,91.2
Cyprus,CYP,Euro,2019,Trading across borders - Score,88.4
Cyprus,CYP,Euro,2019,Overall Score,78
Cyprus,CYP,Euro,2020,Getting Credit - Score,60
Cyprus,CYP,Euro,2020,Resolving insolvency - Score,72.5
Cyprus,CYP,Euro,2020,Starting a business - Score,92
Cyprus,CYP,Euro,2020,Trading across borders - Score,88.4
Cyprus,CYP,Euro,2020,Overall Score,78.2
Estonia,EST,Euro,2016,Getting Credit - Score,70
Estonia,EST,Euro,2016,Resolving insolvency - Score,62.2
Estonia,EST,Euro,2016,Starting a business - Score,95.1
Estonia,EST,Euro,2016,Trading across borders - Score,99.9
Estonia,EST,Euro,2016,Overall Score,81.8
Estonia,EST,Euro,2017,Getting Credit - Score,70
Estonia,EST,Euro,2017,Resolving insolvency - Score,62.3
Estonia,EST,Euro,2017,Starting a business - Score,95.1
Estonia,EST,Euro,2017,Trading across borders - Score,99.9
Estonia,EST,Euro,2017,Overall Score,81.8
Estonia,EST,Euro,2018,Getting Credit - Score,70
Estonia,EST,Euro,2018,Resolving insolvency - Score,62.5
