Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,Currency Unit
Austria,AUT,Dealing with construction permits (DB16-20 methodology) - Score,74.9,74.9,75.0,75.0,75.1,75.1,Euro
Austria,AUT,Dealing with construction permits: Building quality control index (0-15) (DB16-20 methodology),13.0,13.0,13.0,13.0,13.0,13.0,Euro
Austria,AUT,Dealing with construction permits: Building quality control index (0-15) (DB16-20 methodology) - Score,86.66667,86.66667,86.66667,86.66667,86.66667,86.66667,Euro
Austria,AUT,Dealing with construction permits: Cost (% of Warehouse value),1.3,1.3,1.3,1.2,1.2,1.1,Euro
Austria,AUT,Dealing with construction permits: Cost (% of Warehouse value) - Score,93.27449,93.5282,93.66361,93.8148,94.1359,94.31982,Euro
Austria,AUT,Dealing with construction permits: Liability and insurance regimes index (0-2) (DB16-20 methodology),2.0,2.0,2.0,2.0,2.0,2.0,Euro
Austria,AUT,Dealing with construction permits: Procedures (number),11.0,11.0,11.0,11.0,11.0,11.0,Euro
Austria,AUT,Dealing with construction permits: Procedures (number) - Score,76.0,76.0,76.0,76.0,76.0,76.0,Euro
Austria,AUT,Dealing with construction permits: Professional certifications index (0-4) (DB16-20 methodology),4.0,4.0,4.0,4.0,4.0,4.0,Euro
Austria,AUT,Dealing with construction permits: Quality control after construction index (0-3) (DB16-20 methodology),3.0,3.0,3.0,3.0,3.0,3.0,Euro
Austria,AUT,Dealing with construction permits: Quality control before construction index (0-1) (DB16-20 methodology),0.0,0.0,0.0,0.0,0.0,0.0,Euro
Austria,AUT,Dealing with construction permits: Quality control during construction index (0-3) (DB16-20 methodology),2.0,2.0,2.0,2.0,2.0,2.0,Euro
Austria,AUT,Dealing with construction permits: Quality of building regulations index (0-2) (DB16-20 methodology),2.0,2.0,2.0,2.0,2.0,2.0,Euro
Austria,AUT,Dealing with construction permits: Time (days),222.0,222.0,222.0,222.0,222.0,222.0,Euro
Austria,AUT,Dealing with construction permits: Time (days)  - Score,43.51585,43.51585,43.51585,43.51585,43.51585,43.51585,Euro
Austria,AUT,Enforcing contracts: Attorney fees (% of claim),13.6,13.6,13.6,13.6,13.6,13.6,Euro
Austria,AUT,Enforcing contracts: Cost (% of claim),20.6,20.6,20.6,20.6,20.6,20.6,Euro
Austria,AUT,Enforcing contracts: Cost (% of claim) - Score,76.94038,76.94038,76.94038,76.94038,76.94038,76.94038,Euro
Austria,AUT,Enforcing contracts: Court fees (% of claim),6.5,6.5,6.5,6.5,6.5,6.5,Euro
Austria,AUT,Enforcing contracts: Enforcement fees (% of claim),0.5,0.5,0.5,0.5,0.5,0.5,Euro
Austria,AUT,Enforcing contracts: Enforcement of judgment (days),90.0,90.0,90.0,90.0,90.0,90.0,Euro
Austria,AUT,Enforcing contracts: Filing and service (days),30.0,30.0,30.0,30.0,30.0,30.0,Euro
Austria,AUT,Enforcing contracts: Time (days),397.0,397.0,397.0,397.0,397.0,397.0,Euro
Austria,AUT,Enforcing contracts: Time (days) - Score,77.29508,77.29508,77.29508,77.29508,77.29508,77.29508,Euro
Austria,AUT,Enforcing contracts: Trial and judgment (days),277.0,277.0,277.0,277.0,277.0,277.0,Euro
Austria,AUT,Getting credit (DB15-20 methodology) - Score,55.0,55.0,55.0,55.0,55.0,55.0,Euro
Austria,AUT,Getting Credit total score (DB15-20 methodology),11.0,11.0,11.0,11.0,11.0,11.0,Euro
Austria,AUT,Getting credit: Credit bureau coverage (% of adults),53.2,52.8,53.6,52.8,52.2,53.5,Euro
Austria,AUT,Getting credit: Credit registry coverage (% of adults),2.0,2.2,2.3,2.2,2.2,2.2,Euro
Austria,AUT,Getting credit: Depth of credit information index (0-8) (DB15-20 methodology),7.0,7.0,7.0,7.0,7.0,7.0,Euro
Austria,AUT,Getting credit: Depth of credit information index (0-8) (DB15-20 methodology) - Score,87.5,87.5,87.5,87.5,87.5,87.5,Euro
Austria,AUT,Getting credit: Strength of legal rights index (0-12) (DB15-20 methodology),4.0,4.0,4.0,4.0,4.0,4.0,Euro
Austria,AUT,Getting credit: Strength of legal rights index (0-12) (DB15-20 methodology) - Score,33.33333,33.33333,33.33333,33.33333,33.33333,33.33333,Euro
Austria,AUT,Getting electricity (DB16-20 methodology) - Score,87.7,87.7,87.7,87.7,87.7,87.7,Euro
Austria,AUT,Getting electricity: Communication of tariffs and tariff changes (0-1) (DB16-20 methodology),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Austria,AUT,Getting electricity: Cost to get electricity (% of income per capita),101.6,97.8,95.7,93.5,88.6,85.8,Euro
Austria,AUT,Getting electricity: Cost to get electricity (% of income per capita) - Score,98.7455,98.79282,98.81808,98.84628,98.90618,98.94048,Euro
Austria,AUT,Getting electricity: Financial deterrents aimed at limiting outages (0-1) (DB16-20 methodology),0.0,0.0,0.0,0.0,0.0,0.0,Euro
Austria,AUT,Getting electricity: Mechanisms for monitoring outages (0-1) (DB16-20 methodology),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Austria,AUT,Getting electricity: Mechanisms for restoring service (0-1) (DB16-20 methodology),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Austria,AUT,Getting electricity: Minimum outage time (in minutes)  (DB16-20 methodology),3.0,3.0,3.0,3.0,3.0,3.0,Euro
Austria,AUT,Getting electricity: Price of electricity (US cents per kWh) (DB16-20 methodology),11.6,11.3,9.5,8.9,9.8,10.2,Euro
Austria,AUT,Getting electricity: Procedures (number),5.0,5.0,5.0,5.0,5.0,5.0,Euro
Austria,AUT,Getting electricity: Procedures (number) - Score,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,Euro
Austria,AUT,Getting electricity: Regulatory monitoring (0-1) (DB16-20 methodology),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Austria,AUT,Getting electricity: Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology),7.0,7.0,7.0,7.0,7.0,7.0,Euro
Austria,AUT,Getting electricity: Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology) - Score,87.5,87.5,87.5,87.5,87.5,87.5,Euro
Austria,AUT,Getting electricity: System average interruption duration index (SAIDI) (DB16-20 methodology),0.79,0.83,0.79,0.69,0.69,0.63,Euro
Austria,AUT,Getting electricity: System average interruption frequency index (SAIFI) (DB16-20 methodology),0.76,0.76,0.67,0.73,0.73,0.61,Euro
Austria,AUT,Getting electricity: Time (days),23.0,23.0,23.0,23.0,23.0,23.0,Euro
Austria,AUT,Getting electricity: Time (days) - Score,97.82609,97.82609,97.82609,97.82609,97.82609,97.82609,Euro
Austria,AUT,Getting electricity: Total duration and frequency of outages per customer a year (0-3) (DB16-20 methodology),3.0,3.0,3.0,3.0,3.0,3.0,Euro
Austria,AUT,Other taxes (% of profits),0.6,0.6,0.6,0.6,0.6,0.6,Euro
Austria,AUT,Paying taxes: Labor tax and contributions (% of profits),34.3,34.3,34.2,34.2,33.8,33.7,Euro
Austria,AUT,Paying taxes: Payments (number per year),12.0,12.0,12.0,12.0,12.0,12.0,Euro
Austria,AUT,Paying taxes: Payments per year (number per year) - Score,85.0,85.0,85.0,85.0,85.0,85.0,Euro
Austria,AUT,Paying taxes: Profit tax (% of profits),16.8,16.8,16.9,17.0,17.1,17.1,Euro
Austria,AUT,Paying taxes: Time (hours per year),131.0,131.0,131.0,131.0,131.0,131.0,Euro
Austria,AUT,Paying taxes: Time (hours per year) - Score,87.32612,87.32612,87.32612,87.32612,87.32612,87.32612,Euro
Austria,AUT,Paying taxes: Total tax and contribution rate (% of profit),51.7,51.7,51.6,51.8,51.5,51.4,Euro
Austria,AUT,Paying taxes: Total tax and contribution rate (% of profit) - Score,62.65718,62.66205,62.77652,62.49802,62.94657,63.11272,Euro
Austria,AUT,Protecting minority investors (DB15-20 methodology) - Score,70.0,70.0,70.0,70.0,70.0,70.0,Euro
Austria,AUT,Protecting minority investors: Ease of shareholder suits index (0-10) (DB15-20 methodology),7.0,7.0,7.0,7.0,7.0,7.0,Euro
Austria,AUT,Protecting minority investors: Ease of shareholder suits index (0-10) (DB15-20 methodology) - Score,70.0,70.0,70.0,70.0,70.0,70.0,Euro
Austria,AUT,Protecting minority investors: Extent of corporate transparency index (0-7) (DB15-20 methodology),6.0,6.0,6.0,6.0,6.0,6.0,Euro
Austria,AUT,Protecting minority investors: Extent of corporate transparency index (0-7) (DB15-20 methodology) - Score,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,Euro
Austria,AUT,Protecting minority investors: Extent of director liability index (0-10),5.0,5.0,5.0,5.0,5.0,5.0,Euro
Austria,AUT,Protecting minority investors: Extent of director liability index (0-10) - Score,50.0,50.0,50.0,50.0,50.0,50.0,Euro
Austria,AUT,Protecting minority investors: Extent of disclosure index (0-10),5.0,5.0,5.0,5.0,5.0,5.0,Euro
Austria,AUT,Protecting minority investors: Extent of disclosure index (0-10) - Score,50.0,50.0,50.0,50.0,50.0,50.0,Euro
Austria,AUT,Protecting minority investors: Extent of ownership and control index (0-7) (DB15-20 methodology),7.0,7.0,7.0,7.0,7.0,7.0,Euro
Austria,AUT,Protecting minority investors: Extent of ownership and control index (0-7) (DB15-20 methodology) - Score,100.0,100.0,100.0,100.0,100.0,100.0,Euro
Austria,AUT,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology),5.0,5.0,5.0,5.0,5.0,5.0,Euro
Austria,AUT,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,Euro
Austria,AUT,Protecting minority investors: Strength of minority investor protection index (0-50) (DB15-20 methodology),35.0,35.0,35.0,35.0,35.0,35.0,Euro
Austria,AUT,Registering property: Cost (% of property value),4.6,4.6,4.6,4.6,4.6,4.6,Euro
Austria,AUT,Registering property: Cost (% of property value) - Score,69.21497,69.21943,69.22181,69.22448,69.22927,69.23253,Euro
Austria,AUT,Registering property: Procedures (number),3.0,3.0,3.0,3.0,3.0,3.0,Euro
Austria,AUT,Registering property: Procedures (number) - Score,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,Euro
Austria,AUT,Registering property: Time (days),20.5,20.5,20.5,20.5,20.5,20.5,Euro
Austria,AUT,Registering property: Time (days) - Score,90.66986,90.66986,90.66986,90.66986,90.66986,90.66986,Euro
Austria,AUT,Reorganization proceedings index (0-3) (DB15-20 methodology),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Austria,AUT,Resolving insolvency - Score,78.8,78.9,78.9,77.4,77.5,77.4,Euro
Austria,AUT,Resolving insolvency: Commencement of proceedings index (0-3) (DB15-20 methodology),2.5,2.5,2.5,2.5,2.5,2.5,Euro
Austria,AUT,Resolving insolvency: Cost (% of estate),10.0,10.0,10.0,10.0,10.0,10.0,Euro
Austria,AUT,Resolving insolvency: Creditor participation index (0-4) (DB15-20 methodology),2.0,2.0,2.0,2.0,2.0,2.0,Euro
Austria,AUT,Resolving insolvency: Management of debtor's assets index (0-6) (DB15-20 methodology),5.5,5.5,5.5,5.5,5.5,5.5,Euro
Austria,AUT,Resolving insolvency: Outcome (0 as piecemeal sale and 1 as going concern),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Austria,AUT,Resolving insolvency: Recovery rate (cents on the dollar),82.6,82.7,82.8,80.0,80.1,79.9,Euro
Austria,AUT,Resolving insolvency: Recovery rate (cents on the dollar) - Score,88.92638,89.02074,89.1134,86.10188,86.19722,86.02959,Euro
Austria,AUT,Resolving insolvency: Strength of insolvency framework index (0-16),11.0,11.0,11.0,11.0,11.0,11.0,Euro
Austria,AUT,Resolving insolvency: Strength of insolvency framework index (0-16) - Score,68.75,68.75,68.75,68.75,68.75,68.75,Euro
Austria,AUT,Resolving insolvency: Time (years),1.1,1.1,1.1,1.1,1.1,1.1,Euro
Austria,AUT,Starting a business - Score,82.8,82.8,83.1,83.1,83.2,83.2,Euro
Austria,AUT,Starting a business: Cost - Men (% of income per capita),5.5,5.3,5.2,5.1,4.8,4.7,Euro
Austria,AUT,Starting a business: Cost - Men (% of income per capita) - Score,97.22627,97.3309,97.38675,97.4491,97.58153,97.65738,Euro
Austria,AUT,Starting a business: Cost - Women (% of income per capita),5.5,5.3,5.2,5.1,4.8,4.7,Euro
Austria,AUT,Starting a business: Cost - Women (% of income per capita) - Score,97.22627,97.3309,97.38675,97.4491,97.58153,97.65738,Euro
Austria,AUT,Starting a business: Minimum capital (% of income per capita),13.6,13.1,12.8,12.5,11.9,11.5,Euro
Austria,AUT,Starting a business: Paid-in Minimum capital (% of income per capita) - Score,96.59079,96.7194,96.78804,96.86468,97.02745,97.12068,Euro
Austria,AUT,Starting a business: Procedures required - Men (number),8.0,8.0,8.0,8.0,8.0,8.0,Euro
Austria,AUT,Starting a business: Procedures required - Men (number) - Score,58.82353,58.82353,58.82353,58.82353,58.82353,58.82353,Euro
Austria,AUT,Starting a business: Procedures required - Women (number),8.0,8.0,8.0,8.0,8.0,8.0,Euro
Austria,AUT,Starting a business: Procedures required - Women (number) - Score,58.82353,58.82353,58.82353,58.82353,58.82353,58.82353,Euro
Austria,AUT,Starting a business: Time - Men (days),22.0,22.0,21.0,21.0,21.0,21.0,Euro
Austria,AUT,Starting a business: Time - Men (days) - Score,78.39196,78.39196,79.39698,79.39698,79.39698,79.39698,Euro
Austria,AUT,Starting a business: Time - Women (days),22.0,22.0,21.0,21.0,21.0,21.0,Euro
Austria,AUT,Starting a business: Time - Women (days)- Score,78.39196,78.39196,79.39698,79.39698,79.39698,79.39698,Euro
Austria,AUT,Time to export: Border compliance (hours) (DB16-20 methodology),0.0,0.0,0.0,0.0,0.0,0.0,Euro
Austria,AUT,Time to export: Documentary compliance (hours) (DB16-20 methodology),0.5,0.5,0.5,0.5,0.5,0.5,Euro
Austria,AUT,Time to import: Border compliance (hours) (DB16-20 methodology),0.0,0.0,0.0,0.0,0.0,0.0,Euro
Austria,AUT,Time to import: Documentary compliance (hours) (DB16-20 methodology),0.5,0.5,0.5,0.5,0.5,0.5,Euro
Austria,AUT,Trading across borders (DB16-20 methodology) - Score,100.0,100.0,100.0,100.0,100.0,100.0,Euro
Austria,AUT,Trading across borders: Cost to export: Border compliance (USD) (DB16-20 methodology),0.0,0.0,0.0,0.0,0.0,0.0,Euro
