Country Name,Country Code,Currency Unit,Year,Overall Score,Indicator,Score
Austria,AUT,Euro,2016,79.2,Getting Creding,55
Austria,AUT,Euro,2016,79.2,Resolving insolvency,78.9
Austria,AUT,Euro,2016,79.2,Starting a business,82.8
Austria,AUT,Euro,2016,79.2,Trading across borders,100
Austria,AUT,Euro,2017,79.3,Getting Creding,55
Austria,AUT,Euro,2017,79.3,Resolving insolvency,78.9
Austria,AUT,Euro,2017,79.3,Starting a business,83.1
Austria,AUT,Euro,2017,79.3,Trading across borders,100
Austria,AUT,Euro,2018,78.9,Getting Creding,55
Austria,AUT,Euro,2018,78.9,Resolving insolvency,77.4
Austria,AUT,Euro,2018,78.9,Starting a business,83.1
Austria,AUT,Euro,2018,78.9,Trading across borders,100
Austria,AUT,Euro,2019,78.9,Getting Creding,55
Austria,AUT,Euro,2019,78.9,Resolving insolvency,77.5
Austria,AUT,Euro,2019,78.9,Starting a business,83.2
Austria,AUT,Euro,2019,78.9,Trading across borders,100
Austria,AUT,Euro,2020,78.9,Getting Creding,55
Austria,AUT,Euro,2020,78.9,Resolving insolvency,77.4
Austria,AUT,Euro,2020,78.9,Starting a business,83.2
Austria,AUT,Euro,2020,78.9,Trading across borders,100
Belgium,BEL,Euro,2016,80.1,Getting Creding,45
Belgium,BEL,Euro,2016,80.1,Resolving insolvency,84
Belgium,BEL,Euro,2016,80.1,Starting a business,91.4
Belgium,BEL,Euro,2016,80.1,Trading across borders,100
Belgium,BEL,Euro,2017,80.2,Getting Creding,45
Belgium,BEL,Euro,2017,80.2,Resolving insolvency,84.3
Belgium,BEL,Euro,2017,80.2,Starting a business,91.4
Belgium,BEL,Euro,2017,80.2,Trading across borders,100
Belgium,BEL,Euro,2018,79.5,Getting Creding,45
Belgium,BEL,Euro,2018,79.5,Resolving insolvency,81.5
Belgium,BEL,Euro,2018,79.5,Starting a business,91.4
Belgium,BEL,Euro,2018,79.5,Trading across borders,100
Belgium,BEL,Euro,2019,85.1,Getting Creding,65
Belgium,BEL,Euro,2019,85.1,Resolving insolvency,83.9
Belgium,BEL,Euro,2019,85.1,Starting a business,91.4
Belgium,BEL,Euro,2019,85.1,Trading across borders,100
Belgium,BEL,Euro,2020,85.4,Getting Creding,65
Belgium,BEL,Euro,2020,85.4,Resolving insolvency,84.1
Belgium,BEL,Euro,2020,85.4,Starting a business,92.3
Belgium,BEL,Euro,2020,85.4,Trading across borders,100
Cyprus,CYP,Euro,2016,78.5,Getting Creding,65
Cyprus,CYP,Euro,2016,78.5,Resolving insolvency,71.2
Cyprus,CYP,Euro,2016,78.5,Starting a business,89.2
Cyprus,CYP,Euro,2016,78.5,Trading across borders,88.4
Cyprus,CYP,Euro,2017,77.9,Getting Creding,60
Cyprus,CYP,Euro,2017,77.9,Resolving insolvency,72
Cyprus,CYP,Euro,2017,77.9,Starting a business,91.2
Cyprus,CYP,Euro,2017,77.9,Trading across borders,88.4
Cyprus,CYP,Euro,2018,78,Getting Creding,60
Cyprus,CYP,Euro,2018,78,Resolving insolvency,72.2
Cyprus,CYP,Euro,2018,78,Starting a business,91.2
Cyprus,CYP,Euro,2018,78,Trading across borders,88.4
Cyprus,CYP,Euro,2019,78,Getting Creding,60
Cyprus,CYP,Euro,2019,78,Resolving insolvency,72.3
Cyprus,CYP,Euro,2019,78,Starting a business,91.2
Cyprus,CYP,Euro,2019,78,Trading across borders,88.4
Cyprus,CYP,Euro,2020,78.2,Getting Creding,60
Cyprus,CYP,Euro,2020,78.2,Resolving insolvency,72.5
Cyprus,CYP,Euro,2020,78.2,Starting a business,92
Cyprus,CYP,Euro,2020,78.2,Trading across borders,88.4
Estonia,EST,Euro,2016,81.8,Getting Creding,70
Estonia,EST,Euro,2016,81.8,Resolving insolvency,62.2
Estonia,EST,Euro,2016,81.8,Starting a business,95.1
Estonia,EST,Euro,2016,81.8,Trading across borders,99.9
Estonia,EST,Euro,2017,81.8,Getting Creding,70
Estonia,EST,Euro,2017,81.8,Resolving insolvency,62.3
Estonia,EST,Euro,2017,81.8,Starting a business,95.1
Estonia,EST,Euro,2017,81.8,Trading across borders,99.9
Estonia,EST,Euro,2018,81.9,Getting Creding,70
Estonia,EST,Euro,2018,81.9,Resolving insolvency,62.5
Estonia,EST,Euro,2018,81.9,Starting a business,95.2
