region,Country Code,Currency Unit,Year,Getting Credit - Score,Resolving insolvency - Score,Starting a business - Score,Trading across borders - Score,Overall Score
Austria,AUT,Euro,2016,55,78.9,82.8,100,79.2
Austria,AUT,Euro,2017,55,78.9,83.1,100,79.3
Austria,AUT,Euro,2018,55,77.4,83.1,100,78.9
Austria,AUT,Euro,2019,55,77.5,83.2,100,78.9
Austria,AUT,Euro,2020,55,77.4,83.2,100,78.9
Belgium,BEL,Euro,2016,45,84,91.4,100,80.1
Belgium,BEL,Euro,2017,45,84.3,91.4,100,80.2
Belgium,BEL,Euro,2018,45,81.5,91.4,100,79.5
Belgium,BEL,Euro,2019,65,83.9,91.4,100,85.1
Belgium,BEL,Euro,2020,65,84.1,92.3,100,85.4
Cyprus,CYP,Euro,2016,65,71.2,89.2,88.4,78.5
Cyprus,CYP,Euro,2017,60,72,91.2,88.4,77.9
Cyprus,CYP,Euro,2018,60,72.2,91.2,88.4,78
Cyprus,CYP,Euro,2019,60,72.3,91.2,88.4,78
Cyprus,CYP,Euro,2020,60,72.5,92,88.4,78.2
Estonia,EST,Euro,2016,70,62.2,95.1,99.9,81.8
Estonia,EST,Euro,2017,70,62.3,95.1,99.9,81.8
Estonia,EST,Euro,2018,70,62.5,95.2,99.9,81.9
Estonia,EST,Euro,2019,70,62.5,95.3,99.9,81.9
Estonia,EST,Euro,2020,70,60.1,95.4,99.9,81.4
Finland,FIN,Euro,2016,60,93.8,92.4,92.4,84.7
Finland,FIN,Euro,2017,60,93.9,92.4,92.4,84.7
Finland,FIN,Euro,2018,60,92.8,92.4,92.4,84.4
Finland,FIN,Euro,2019,60,92.8,92.4,92.4,84.4
Finland,FIN,Euro,2020,60,92.7,93.5,92.4,84.7
France,FRA,Euro,2016,50,76.1,93.1,100,79.8
France,FRA,Euro,2017,50,76.6,93.3,100,80
France,FRA,Euro,2018,50,73.9,93.3,100,79.3
France,FRA,Euro,2019,50,74.1,93.3,100,79.4
France,FRA,Euro,2020,50,74.6,93.1,100,79.4
Germany,DEU,Euro,2016,70,91.9,82.7,91.8,84.1
Germany,DEU,Euro,2017,70,92.3,83.5,91.8,84.4
Germany,DEU,Euro,2018,70,90.3,83.5,91.8,83.9
Germany,DEU,Euro,2019,70,90.1,83.6,91.8,83.9
Germany,DEU,Euro,2020,70,89.8,83.7,91.8,83.8
Greece,GRC,Euro,2016,45,54.7,90.7,93.7,71
Greece,GRC,Euro,2017,45,55.1,90.7,93.7,71.1
Greece,GRC,Euro,2018,45,54,92.4,93.7,71.3
Greece,GRC,Euro,2019,45,53.8,92.4,93.7,71.2
Greece,GRC,Euro,2020,45,53.1,96,93.7,72
Ireland,IRL,Euro,2016,70,80,92.7,87.2,82.5
Ireland,IRL,Euro,2017,70,80,94.4,87.2,82.9
Ireland,IRL,Euro,2018,70,79,94.4,87.2,82.7
Ireland,IRL,Euro,2019,70,79.1,94.4,87.2,82.7
Ireland,IRL,Euro,2020,70,79.2,94.4,87.2,82.7
Italy,ITA,Euro,2016,45,76.1,86.7,100,76.9
Italy,ITA,Euro,2017,45,76.6,86.7,100,77.1
Italy,ITA,Euro,2018,45,77,86.8,100,77.2
Italy,ITA,Euro,2019,45,77.3,86.8,100,77.3
Italy,ITA,Euro,2020,45,77.5,86.8,100,77.3
Kosovo,XKX,Euro,2016,75,20.3,93.1,87,68.9
Kosovo,XKX,Euro,2017,75,20.9,95.5,92.5,71
Kosovo,XKX,Euro,2018,85,63.3,95.7,92.5,84.1
Kosovo,XKX,Euro,2019,85,63.4,95.7,93.8,84.5
Kosovo,XKX,Euro,2020,85,63.5,95.9,94.2,84.7
Latvia,LVA,Euro,2016,75,63.4,94.1,95.3,81.9
Latvia,LVA,Euro,2017,85,64,94.1,95.3,84.6
Latvia,LVA,Euro,2018,85,59.1,94.1,95.3,83.4
Latvia,LVA,Euro,2019,85,59.6,94.1,95.3,83.5
Latvia,LVA,Euro,2020,85,59.8,94.1,95.3,83.6
Lithuania,LTU,Euro,2016,70,45.7,92.9,97.7,76.6
Lithuania,LTU,Euro,2017,70,46.7,93,97.7,76.9
Lithuania,LTU,Euro,2018,70,46.9,93.1,97.7,76.9
Lithuania,LTU,Euro,2019,70,46.9,93.2,97.8,77
Lithuania,LTU,Euro,2020,70,46.7,93.3,97.8,77
Luxembourg,LUX,Euro,2016,15,45.4,88.4,100,62.2
Luxembourg,LUX,Euro,2017,15,45.4,88.7,100,62.3
Luxembourg,LUX,Euro,2018,15,45.4,88.8,100,62.3
Luxembourg,LUX,Euro,2019,15,45.5,88.7,100,62.3
Luxembourg,LUX,Euro,2020,15,45.5,88.8,100,62.3
Malta,MLT,Euro,2016,10,38.5,78,88.9,53.9
Malta,MLT,Euro,2017,30,39.1,80.2,88.9,59.6
Malta,MLT,Euro,2018,30,38.1,84.8,88.9,60.4
Malta,MLT,Euro,2019,35,38.1,84.9,88.9,61.7
Malta,MLT,Euro,2020,35,38.3,88.2,88.9,62.6
Montenegro,MNE,Euro,2016,85,65.1,86.6,91.9,82.2
Montenegro,MNE,Euro,2017,85,65.2,86.6,91.9,82.2
Montenegro,MNE,Euro,2018,85,65.6,86.6,91.9,82.3
Montenegro,MNE,Euro,2019,85,66,86.7,91.9,82.4
Montenegro,MNE,Euro,2020,85,66.1,86.7,91.9,82.4
Netherlands,NLD,Euro,2016,40,83.8,94.3,100,79.5
Netherlands,NLD,Euro,2017,40,84,94.3,100,79.6
Netherlands,NLD,Euro,2018,45,84.2,94.3,100,80.9
Netherlands,NLD,Euro,2019,45,84.3,94.3,100,80.9
Netherlands,NLD,Euro,2020,45,84.4,94.3,100,80.9
Portugal,PRT,Euro,2016,45,80.6,91,100,79.2
Portugal,PRT,Euro,2017,45,81.2,91,100,79.3
Portugal,PRT,Euro,2018,45,79.7,90.9,100,78.9
Portugal,PRT,Euro,2019,45,80,90.9,100,79
Portugal,PRT,Euro,2020,45,80.2,90.9,100,79
San Marino,SMR,Euro,2016,5,39.2,83.7,97.5,56.3
San Marino,SMR,Euro,2017,5,39.5,83.8,97.5,56.5
San Marino,SMR,Euro,2018,5,39.5,83.6,97.5,56.4
San Marino,SMR,Euro,2019,30,41.2,83.7,97.5,63.1
San Marino,SMR,Euro,2020,30,41.1,87.3,97.5,64
Slovak Republic,SVK,Euro,2016,70,70,81.8,100,80.5
Slovak Republic,SVK,Euro,2017,70,70.5,81.9,100,80.6
Slovak Republic,SVK,Euro,2018,70,66.1,82,100,79.5
Slovak Republic,SVK,Euro,2019,70,66.9,82,100,79.7
Slovak Republic,SVK,Euro,2020,70,65.5,84.8,100,80.1
Slovenia,SVN,Euro,2016,35,83.4,94.5,100,78.2
Slovenia,SVN,Euro,2017,35,84,94.6,100,78.4
Slovenia,SVN,Euro,2018,45,83.7,94.7,100,80.9
Slovenia,SVN,Euro,2019,45,83.7,92.9,100,80.4
Slovenia,SVN,Euro,2020,45,84.4,93,100,80.6
Spain,ESP,Euro,2016,60,75.8,86.4,100,80.6
Spain,ESP,Euro,2017,60,79.6,86.7,100,81.6
Spain,ESP,Euro,2018,60,78.7,86.7,100,81.4
